qp,job,qp_NSQF,qp_sector,similarity
Automotive Welding Machine Operator (Manual and Robotics),Car sales advisor,3.0,Automotive,0.42069268226623535
Test Technician,Automotive technician,4.0,Automotive,0.4206455945968628
Design Marker - Stonecraft,Solar PV installer,3.5,Handicrafts and Carpet,0.420632004737854
Waste Picker,Mechanical fitter,3.0,Green Jobs,0.4206252098083496
Fitter - Shuttleless Weaving Machine: Air-Jet,Solar technician,4.0,Textile,0.4206172525882721
Clean Cookstove Sales and Maintenance Executive,Truck driver,4.0,Green Jobs,0.4205856919288635
Autoconer Tenter,Automotive technician,3.0,Textile,0.42055264115333557
Automotive Engine Repair Technician,Hotel front desk clerk,4.0,Automotive,0.4205498695373535
Compressor  Operator,Automotive technician,4.0,Mining,0.4205339252948761
Assistant Instructor - Rope Activities,Electrician,3.0,Tourism & Hospitality,0.4204988479614258
Repair - Welder,Car sales advisor,4.0,Automotive,0.42044442892074585
Sous Chef,Solar technician,5.5,Tourism & Hospitality,0.42042410373687744
Floor Supervisor (Ceramics),Car sales advisor,4.0,Handicrafts and Carpet,0.42037200927734375
Small Hydro Power Plant Technician-(Jal Urja Mitra),Welder and fitter,4.0,Green Jobs,0.42036837339401245
Loader Operator-Underground,Solar PV installer,4.0,Mining,0.42025840282440186
Crochet Lace Tailor,Truck driver,3.0,Handicrafts and Carpet,0.42018091678619385
Traditional Sweet and Savoury Product Maker,Car sales advisor,3.0,Food Processing,0.4201418161392212
Pastry/Bakery Assistant,Welder and fitter,3.0,Tourism & Hospitality,0.42012399435043335
Fitter - Post Spinning,Car sales advisor,4.0,Textile,0.42005181312561035
Baking Assistant,Automotive technician,2.5,Food Processing,0.4200371205806732
Additive Manufacturing,Car sales advisor,4.5,Automotive,0.4200156331062317
Jute Yarn Hank Dyer,Truck driver,2.5,Handicrafts and Carpet,0.4199703633785248
Traditional Leather Toy maker,Car sales advisor,2.5,Handicrafts and Carpet,0.4199104309082031
Ventilation Checker cum Fan Operator,Forklift operator,4.0,Mining,0.41985023021698
Craft Specialist- Paper Mache,Forklift operator,4.0,Handicrafts and Carpet,0.4198322892189026
Automotive Body Painting Assistant,Automotive technician,2.0,Automotive,0.4198194742202759
Junior Technician - Mechanized Sewer Cleaning,Truck driver,3.0,Green Jobs,0.4197896122932434
Kamgar (Mining),Solar technician,1.0,Mining,0.4197778105735779
Ground Crew Chief (Paragliding),Solar technician,4.0,Tourism & Hospitality,0.41977113485336304
Automotive CAD Technician,Electrician,3.5,Automotive,0.4197658896446228
Textile Processing Preparatory Operator,Electrician,2.0,Textile,0.419718861579895
Food & Beverage Service Trainee,Forklift operator,3.0,Tourism & Hospitality,0.41968995332717896
Food Microbiologist,Mechanical fitter,6.0,Food Processing,0.41954731941223145
Locomotive Driver,Solar PV installer,4.0,Iron and Steel,0.41953712701797485
Suraksha Saathi,Electrician,2.5,Iron and Steel,0.41953080892562866
Quality Control Manager-Tourism and Hospitality,Solar PV installer,6.0,Tourism & Hospitality,0.41948872804641724
Housekeeping Trainee,Car sales advisor,3.0,Tourism & Hospitality,0.41948384046554565
Internal Food Auditor-Food Processing,Solar technician,6.0,Food Processing,0.4194352924823761
Basic Program on Hand Block Printing,Mechanical fitter,4.0,Handicrafts and Carpet,0.4194088876247406
Facility Management Executive,Electrician,5.0,Tourism & Hospitality,0.4193706512451172
Textile Finishing Machine Operator,Electrician,2.0,Textile,0.41935235261917114
Tour Manager,Mechanical fitter,6.0,Tourism & Hospitality,0.41933369636535645
Automotive Assembly Operator,Car sales advisor,3.0,Automotive,0.41932085156440735
Assistant Glass Toy Maker - Artisan,Truck driver,2.5,Handicrafts and Carpet,0.41927796602249146
Solar PV Maintenance Technician - Electrical (Ground Mount),Forklift operator,4.0,Green Jobs,0.4192420244216919
Electric Vehicle Assembly Operator,Electrician,2.5,Automotive,0.4192062020301819
Kamgar (Mining),Solar PV installer,1.0,Mining,0.41918307542800903
Plant Manager,Car sales advisor,9.0,Food Processing,0.41917896270751953
Purchase Assistant  Food and Agricultural Commodities,Solar technician,3.0,Food Processing,0.4191209077835083
Quality checker - Stonecraft,Electrician,3.5,Handicrafts and Carpet,0.41910773515701294
Travel Advisor,Mechanical fitter,4.0,Tourism & Hospitality,0.41908857226371765
Assistant Chef,Car sales advisor,3.0,Tourism & Hospitality,0.41907936334609985
Automotive AC Technician,Hotel front desk clerk,3.0,Automotive,0.41903263330459595
Automotive IIOT Application Technician,Solar PV installer,3.5,Automotive,0.41897255182266235
Adventure Travel Guide,Electrician,5.0,Tourism & Hospitality,0.41892167925834656
Assistant Mechanic - Conveyor Operation and Maintenance,Solar PV installer,3.0,Iron and Steel,0.41891488432884216
Restaurant Manager,Welder and fitter,5.5,Tourism & Hospitality,0.41890841722488403
Mining Supervisor (Mineral Sands),Electrician,5.5,Mining,0.4188477098941803
Coal Bed Methane (CBM) Extraction Operator,Car sales advisor,3.0,Mining,0.4188372492790222
Automotive Packing Assistant,Car sales advisor,2.0,Automotive,0.41881757974624634
Solar PV Project Manager (E&C),Truck driver,7.0,Green Jobs,0.4188174307346344
Potter (Kumhar) including traditional ceramics and terracotta product maker,Forklift operator,2.5,Handicrafts and Carpet,0.4188060760498047
Carpet Weaver,Solar technician,3.0,Handicrafts and Carpet,0.4188014268875122
Automotive Packing Assistant,Electrician,2.0,Automotive,0.41878703236579895
Acid Cleaner (Metalware),Electrician,3.0,Handicrafts and Carpet,0.4187811017036438
Store Assistant- Tourism and Hospitality,Solar PV installer,4.0,Tourism & Hospitality,0.41871458292007446
Willow Craft Artisan,Car sales advisor,2.5,Handicrafts and Carpet,0.4186649024486542
Automotive AC Technician,Automotive technician,3.0,Automotive,0.41864660382270813
Soya Products Processor,Electrician,4.0,Food Processing,0.418605238199234
Auto Rickshaw Driver,Electrician,4.0,Automotive,0.4185665547847748
Electric Vehicle Service Lead Technician,Forklift operator,4.5,Automotive,0.41855862736701965
Concierge Manager,Solar technician,6.0,Tourism & Hospitality,0.41852614283561707
Product Conceptualization Engineer,Car sales advisor,6.0,Automotive,0.4185149669647217
Bartender,Truck driver,4.5,Tourism & Hospitality,0.4185117483139038
Hank Dyer,Welder and fitter,3.0,Textile,0.4185052514076233
Butter and Ghee Processing Operator,Car sales advisor,3.0,Food Processing,0.41848936676979065
Automotive AC Technician,Electrician,3.0,Automotive,0.41847044229507446
Fitter-Food manufacturing facility,Car sales advisor,3.0,Food Processing,0.41845113039016724
Hotel Reception (WorldSkills),Forklift operator,4.5,Tourism & Hospitality,0.41844886541366577
Electric Vehicle Product Design Engineer,Electrician,4.5,Automotive,0.41839849948883057
Counter Sales Executive (Tourism and Hospitality),Welder and fitter,4.0,Tourism & Hospitality,0.418375700712204
Automotive Conventional Machining Technician,Automotive technician,4.0,Automotive,0.4183719754219055
Cocoon tester cum purchaser,Car sales advisor,3.0,Textile,0.41834449768066406
Supervisor - Rolling Mills,Electrician,5.0,Iron and Steel,0.4183230400085449
Counter Sales Executive (Tourism and Hospitality),Solar technician,4.0,Tourism & Hospitality,0.4182908535003662
Food Technologist - Plant based proteins,Solar technician,5.0,Food Processing,0.41828054189682007
Food Styling Photographer,Forklift operator,4.0,Tourism & Hospitality,0.41826504468917847
"Ground Staff (Paratrike, Paramotoring, Paragliding)",Welder and fitter,2.0,Tourism & Hospitality,0.41825997829437256
Automotive Tool Room Technician,Car sales advisor,3.5,Automotive,0.41825100779533386
Mountaineering Instructor,Solar PV installer,6.0,Tourism & Hospitality,0.41824135184288025
Assistant-Mine Surveyor,Forklift operator,4.0,Mining,0.41823309659957886
Automotive Press Shop Assistant,Automotive technician,2.0,Automotive,0.4182257056236267
Casting Operator (Metal Handicrafts),Truck driver,4.0,Handicrafts and Carpet,0.4182245135307312
Conveyor Operation & Maintenance,Electrician,3.0,Iron and Steel,0.41819196939468384
Multi Skill Technician (Food Processing),Car sales advisor,4.0,Food Processing,0.41818904876708984
Ceramics and Terracotta Toy Maker - Artisan,Forklift operator,4.0,Handicrafts and Carpet,0.41811054944992065
Assistant Leather Toy Maker - Artisan,Solar PV installer,2.5,Handicrafts and Carpet,0.4180658459663391
Battery Operator,Electrician,5.0,Iron and Steel,0.41804617643356323
Street Food Vendor- Standalone,Truck driver,4.0,Tourism & Hospitality,0.4180453419685364
Desludging Operator,Welder and fitter,3.0,Green Jobs,0.41802042722702026
Electric Vehicle Service Assistant,Hotel front desk clerk,3.0,Automotive,0.417976051568985
Rooftop Solar Grid Engineer,Electrician,5.0,Green Jobs,0.41792869567871094
Dumper/ Tipper Operator,Solar technician,4.0,Mining,0.41791802644729614
Welding,Solar technician,4.5,Automotive,0.41786786913871765
Automotive Washer,Solar PV installer,2.0,Automotive,0.41786134243011475
Nature Guide,Solar PV installer,4.0,Tourism & Hospitality,0.4178045988082886
Squash and Juice Processing Technician,Solar technician,3.0,Food Processing,0.417754590511322
Food Product Developer,Truck driver,5.0,Food Processing,0.41766050457954407
Quality Control Manager-Tourism and Hospitality,Welder and fitter,6.0,Tourism & Hospitality,0.417649507522583
Pickle Making Technician,Truck driver,3.0,Food Processing,0.417582631111145
Maintenance Technician- Service Workshop,Forklift operator,4.0,Automotive,0.41757988929748535
Commis Chef,Truck driver,4.0,Tourism & Hospitality,0.4175621569156647
Sewer Entry Professional,Truck driver,3.0,Green Jobs,0.41752925515174866
Traditional Basket Maker,Welder and fitter,2.5,Handicrafts and Carpet,0.41752463579177856
Automotive Machining Aide,Car sales advisor,2.0,Automotive,0.4175112247467041
Assistant-Underground Mines,Car sales advisor,2.0,Mining,0.417492151260376
Automotive Machinist,Welder and fitter,3.0,Automotive,0.4174734950065613
Solar PV Maintenance Technician - Electrical (Ground Mount),Electrician,4.0,Green Jobs,0.4174729585647583
Cleaner-Roadside Eatery,Hotel front desk clerk,2.0,Tourism & Hospitality,0.4174562096595764
Himalayan Expedition Logistics and Pathfinder (HAP),Solar PV installer,5.0,Tourism & Hospitality,0.4174351096153259
Revenue Manager,Solar PV installer,5.5,Tourism & Hospitality,0.41740667819976807
Assistant Mechanic - Conveyor Operation and Maintenance,Electrician,3.0,Iron and Steel,0.4173559844493866
Craft Specialist- Paper Mache,Electrician,4.0,Handicrafts and Carpet,0.41733115911483765
Ventilation Checker cum Fan Operator,Welder and fitter,4.0,Mining,0.41732168197631836
Baking Assistant,Car sales advisor,2.5,Food Processing,0.41731497645378113
Green Hydrogen Plant Junior Technician (Desalination),Electrician,3.0,Green Jobs,0.4172922968864441
Electric Vehicle Assembly Operator,Automotive technician,2.5,Automotive,0.41725271940231323
Billing Executive,Forklift operator,4.0,Tourism & Hospitality,0.4171907603740692
Fitter Spinning Preparatory,Car sales advisor,4.0,Textile,0.41713207960128784
Spice Processing Technician,Car sales advisor,3.0,Food Processing,0.41712427139282227
Desludging Operator,Truck driver,3.0,Green Jobs,0.41706931591033936
Baking Technician/Operative,Truck driver,3.0,Food Processing,0.41705167293548584
Automotive Machining Trainer,Car sales advisor,4.5,Automotive,0.41704368591308594
Hotel Reception (WorldSkills),Truck driver,4.5,Tourism & Hospitality,0.4170365035533905
Restaurant Service (WorldSkills),Truck driver,4.5,Tourism & Hospitality,0.4170077443122864
Process Control Engineer - Basic Oxygen Furnace (BOF),Electrician,6.0,Iron and Steel,0.4169953167438507
Taxi Driver,Welder and fitter,3.0,Automotive,0.4169599711894989
Speed Frame Operator - Tenter and Doffer,Automotive technician,3.0,Textile,0.4169100522994995
Automotive Detailer Assistant,Electrician,3.0,Automotive,0.4168775975704193
Traditional Glass Toy Maker,Welder and fitter,2.5,Handicrafts and Carpet,0.41687119007110596
Battery Operator,Solar PV installer,5.0,Iron and Steel,0.4168564975261688
Jute Screen Printer,Truck driver,3.0,Handicrafts and Carpet,0.41685599088668823
Jute Handloom Weaver,Truck driver,3.0,Handicrafts and Carpet,0.41685599088668823
Assistant Rafting Guide,Forklift operator,4.0,Tourism & Hospitality,0.4168373942375183
Corn Processing Technician,Car sales advisor,4.0,Food Processing,0.4167972803115845
Jr Operator- Automotive Quality Control,Mechanical fitter,3.0,Automotive,0.4167962372303009
Solar PV Installer - Civil,Car sales advisor,4.0,Green Jobs,0.41679301857948303
House Keeper - Mechanised Equipments,Car sales advisor,3.0,Iron and Steel,0.41672027111053467
Engraving/ Carving/ Etching Assistant (Wooden Handicrafts),Truck driver,3.0,Handicrafts and Carpet,0.41657692193984985
Sakhta Saaz (Paper Pulp),Solar PV installer,2.5,Handicrafts and Carpet,0.41654491424560547
Corn Processing Technician,Automotive technician,4.0,Food Processing,0.4165351688861847
Textile Dyeing Machine Operator,Electrician,2.0,Textile,0.4164840281009674
Operator - Fluid Controls,Automotive technician,4.0,Iron and Steel,0.4164832830429077
Oil Extraction and Refining Technician,Car sales advisor,4.0,Food Processing,0.4164447784423828
Guest Service Executive (Housekeeping),Car sales advisor,4.5,Tourism & Hospitality,0.4163667559623718
Dyer (Rangsaaz) (Carpets),Solar technician,3.0,Handicrafts and Carpet,0.41633057594299316
Carpet Weaver,Forklift operator,3.0,Handicrafts and Carpet,0.41631704568862915
Multi Skill Technician- Fruits & Vegetables,Truck driver,3.0,Food Processing,0.41627705097198486
Cafeteria Supervisor,Electrician,5.0,Tourism & Hospitality,0.4162701964378357
Solar PV Maintenance Technician - Electrical (Ground Mount),Welder and fitter,4.0,Green Jobs,0.41626429557800293
Food & Beverage Controller,Car sales advisor,6.0,Tourism & Hospitality,0.416247695684433
Taxi Driver,Electrician,3.0,Automotive,0.416219025850296
Food Safety Team Leader,Car sales advisor,5.0,Food Processing,0.41619402170181274
Iron & Steel  Utility Hand Plant Operations,Electrician,1.0,Iron and Steel,0.4161750376224518
Jumbo Drill Operator,Car sales advisor,4.0,Mining,0.41615134477615356
Sous Chef,Welder and fitter,5.5,Tourism & Hospitality,0.4161472022533417
Abrasion & Grinding Machine Operator,Truck driver,3.0,Handicrafts and Carpet,0.4161323010921478
Compressor  Operator,Car sales advisor,4.0,Mining,0.4161212146282196
Solar PV Installer - Civil,Truck driver,4.0,Green Jobs,0.41610926389694214
Assistant - Machinist - Iron and Steel,Electrician,3.0,Iron and Steel,0.41609421372413635
Billing/Contract Executive (Facility Management),Hotel front desk clerk,4.0,Tourism & Hospitality,0.41608041524887085
Sardar,Hotel front desk clerk,5.0,Tourism & Hospitality,0.4160524010658264
Fortified Rice Technician,Car sales advisor,4.0,Food Processing,0.4160245954990387
Auto Component Assembly Fitter,Automotive technician,4.0,Automotive,0.4160134494304657
Food Styling Photographer,Welder and fitter,4.0,Tourism & Hospitality,0.41593945026397705
Driving Assistant,Solar PV installer,1.0,Automotive,0.4158986806869507
Lab assistant (Ceramics),Car sales advisor,3.5,Handicrafts and Carpet,0.4158541262149811
Gas Tungsten Arc Welding (GTAW),Truck driver,4.0,Iron and Steel,0.41564056277275085
Housekeeping Supervisor,Car sales advisor,5.0,Tourism & Hospitality,0.41563934087753296
"Meeting, Conference and Event Planner",Forklift operator,5.0,Tourism & Hospitality,0.4156281352043152
Multi-Purpose Associate,Electrician,4.0,Tourism & Hospitality,0.41560065746307373
Camp Helper,Mechanical fitter,3.0,Tourism & Hospitality,0.4155985414981842
Autoconer Tenter,Solar technician,3.0,Textile,0.41557031869888306
Automotive Body Repair Assistant,Electrician,2.5,Automotive,0.415479838848114
Mountaineering Instructor,Forklift operator,6.0,Tourism & Hospitality,0.4154779613018036
Mineral Processing Operator,Automotive technician,4.0,Mining,0.4154741168022156
Tour Manager,Forklift operator,6.0,Tourism & Hospitality,0.4154568314552307
Automatic Stick Making M/C Operator,Truck driver,2.5,Handicrafts and Carpet,0.4154411256313324
Loin Loom Weaver,Welder and fitter,3.0,Textile,0.41543444991111755
Fruits and Vegetables Selection In-Charge,Car sales advisor,3.0,Food Processing,0.41538572311401367
Basic Program on Hand Block Printing,Solar technician,4.0,Handicrafts and Carpet,0.4153003692626953
Kitchen Trainee,Car sales advisor,3.0,Tourism & Hospitality,0.4152955710887909
Automotive Body Repair Technician,Electrician,3.0,Automotive,0.4151933193206787
Rooftop Rainwater Harvesting Entrepreneur,Electrician,4.0,Green Jobs,0.4151711165904999
Automotive Accessory Fitter,Hotel front desk clerk,4.0,Automotive,0.4151570796966553
Rigger: Rigging of Heavy Material,Solar PV installer,3.0,Iron and Steel,0.4151243567466736
Finished Package Checker-cum-Packer  - Spinning,Solar technician,3.0,Textile,0.4151195287704468
Food Delivery Professional,Solar PV installer,3.0,Tourism & Hospitality,0.41511431336402893
Wind Resource Assessor and Site Surveyor - Wind Power Plant,Welder and fitter,5.0,Green Jobs,0.4150831997394562
Electric Vehicle Maintenance Technician,Electrician,3.5,Automotive,0.4150662422180176
Assistant - Machinist - Iron and Steel,Automotive technician,3.0,Iron and Steel,0.4150633215904236
Fruit Pulp Processing Technician,Automotive technician,3.0,Food Processing,0.41504746675491333
Food Analyst,Mechanical fitter,4.0,Food Processing,0.4150392413139343
Assistant-Mine Surveyor,Car sales advisor,4.0,Mining,0.4150344729423523
Merchandiser,Hotel front desk clerk,4.0,Handicrafts and Carpet,0.41502928733825684
Junior Technician - Mechanized Sewer Cleaning,Mechanical fitter,3.0,Green Jobs,0.41501545906066895
Kitchen Helper,Solar PV installer,2.0,Tourism & Hospitality,0.41501402854919434
Food Outlet Manager,Automotive technician,6.0,Tourism & Hospitality,0.4149792492389679
Automotive Telecaller,Hotel front desk clerk,4.0,Automotive,0.4149385690689087
Carding Operator,Automotive technician,3.0,Textile,0.41490691900253296
Kitchen Stewarding Supervisor,Welder and fitter,5.0,Tourism & Hospitality,0.41489270329475403
HEMM Electrician,Forklift operator,4.0,Mining,0.4148554503917694
House Keeper - Mechanised Equipments,Automotive technician,3.0,Iron and Steel,0.4147917628288269
Finished Package Checker-cum-Packer  - Spinning,Solar PV installer,3.0,Textile,0.414774090051651
Loader Operator-Underground,Welder and fitter,4.0,Mining,0.4147440791130066
Dumper/ Tipper Operator,Electrician,4.0,Mining,0.41472327709198
Production Manager,Solar technician,7.0,Food Processing,0.41463857889175415
Coir Fibre Artisan,Truck driver,2.5,Handicrafts and Carpet,0.414600670337677
Mine Roof Bolter,Car sales advisor,4.0,Mining,0.4145759642124176
Fish and Seafood Processing Technician,Car sales advisor,3.0,Food Processing,0.4145723879337311
Bale Press Operator,Solar PV installer,2.0,Textile,0.41457170248031616
Fruit Pulp Processing Technician,Car sales advisor,3.0,Food Processing,0.4145541489124298
Kitchen Stewarding Shift In charge,Solar PV installer,3.5,Tourism & Hospitality,0.41452905535697937
Block Print Supervisor,Solar technician,4.0,Handicrafts and Carpet,0.41450661420822144
Traditional Hand Embroiderer- Supervisor,Solar technician,5.0,Handicrafts and Carpet,0.41439154744148254
Multi Skill Technician- Fruits & Vegetables,Solar PV installer,3.0,Food Processing,0.4143769145011902
Assistant Mechanic - Instrumentation,Car sales advisor,3.0,Iron and Steel,0.4143505096435547
Mine  Electrician,Car sales advisor,4.0,Mining,0.41433751583099365
Food Delivery Associate,Solar PV installer,3.0,Tourism & Hospitality,0.41431665420532227
Tour Manager,Solar PV installer,6.0,Tourism & Hospitality,0.4142756164073944
Refrigeration Technician - Food Processing Facility,Car sales advisor,4.0,Food Processing,0.4142698645591736
Automotive CAD Technician,Automotive technician,3.5,Automotive,0.41424456238746643
High Altitude Trekking Guide,Solar PV installer,5.0,Tourism & Hospitality,0.4142444431781769
Automotive Plastic Moulding Technician,Car sales advisor,3.0,Automotive,0.4142027199268341
Kitchen Helper,Welder and fitter,2.0,Tourism & Hospitality,0.41419747471809387
Fitter Instrumentation,Solar PV installer,3.0,Iron and Steel,0.4141572117805481
Automotive Welding Machine Operator (Manual and Robotics),Electrician,3.0,Automotive,0.4141096770763397
Artisanal Fruit Wine Maker,Car sales advisor,5.0,Food Processing,0.4141007661819458
Electrolyzer Manufacturing Plant Supervisor,Truck driver,5.0,Green Jobs,0.41403961181640625
Block Print Supervisor,Electrician,4.0,Handicrafts and Carpet,0.4140138328075409
High Altitude Trekking Guide,Hotel front desk clerk,5.0,Tourism & Hospitality,0.41390445828437805
Dairy Products Processor,Solar technician,5.0,Food Processing,0.4138997793197632
Loom Supervisor  Knotted Carpet,Car sales advisor,3.5,Handicrafts and Carpet,0.41386663913726807
Solar PV Installer - Civil,Forklift operator,4.0,Green Jobs,0.41384008526802063
"Jam, Jelly and Ketchup Processing Technician",Solar PV installer,3.0,Food Processing,0.413837730884552
Solar PV Installer - Electrical,Car sales advisor,4.0,Green Jobs,0.4138150215148926
Industrial Control,Solar technician,4.5,Automotive,0.41380494832992554
Mining Rescuer,Electrician,3.0,Mining,0.4137383699417114
Fish and Sea food  Processor,Car sales advisor,2.0,Food Processing,0.41373729705810547
Improved Cookstove Installer,Welder and fitter,4.0,Green Jobs,0.4137101471424103
Shuttleless Loom Operator,Solar technician,3.0,Textile,0.4137082099914551
Automotive Sales Executive,Hotel front desk clerk,4.0,Automotive,0.41368114948272705
Solar PV Designer,Welder and fitter,7.0,Green Jobs,0.4136545956134796
Carding Operator,Solar technician,3.0,Textile,0.4136514663696289
Assistant Laboratory Technician,Electrician,3.0,Iron and Steel,0.4136154055595398
Textile Post Processing Machine Operator,Automotive technician,2.0,Textile,0.4134884476661682
Warper - Direct Warping Machine,Solar technician,3.0,Textile,0.41342782974243164
Food & Beverage Service - Associate,Forklift operator,4.0,Tourism & Hospitality,0.4134065508842468
Executive Chef,Truck driver,6.0,Tourism & Hospitality,0.4134019911289215
Chef de Partie,Solar technician,5.0,Tourism & Hospitality,0.4133632779121399
EOT Overhead Crane Operator,Solar PV installer,3.0,Iron and Steel,0.41335371136665344
Automotive Accessory Fitter,Automotive technician,4.0,Automotive,0.4133234918117523
Draw Frame Operator,Car sales advisor,3.0,Textile,0.41332024335861206
Quality Control Manager-Tourism and Hospitality,Truck driver,6.0,Tourism & Hospitality,0.4133177697658539
Milling Technician,Car sales advisor,4.0,Food Processing,0.41330885887145996
Agri-residue Aggregator,Car sales advisor,3.0,Green Jobs,0.41329851746559143
Washerman (Dhobi),Truck driver,2.5,Tourism & Hospitality,0.4132823646068573
Warper - Handloom,Car sales advisor,3.0,Textile,0.41320911049842834
Mechanic -Fitter (Mineral Sands),Car sales advisor,3.0,Mining,0.4131978154182434
Dyer (Rangsaaz) (Carpets),Solar PV installer,3.0,Handicrafts and Carpet,0.413024365901947
Fitter Electronic Assembly,Solar PV installer,3.0,Iron and Steel,0.4130189120769501
Electric Arc Furnace (EAF)- Process Control Engineer,Electrician,5.5,Iron and Steel,0.41301214694976807
Textile Printing Machine Operator,Automotive technician,2.0,Textile,0.41298311948776245
Maintenance Technician- Service Workshop,Hotel front desk clerk,4.0,Automotive,0.4129621088504791
Food and Beverage Service Assistant,Welder and fitter,3.0,Tourism & Hospitality,0.4129616320133209
Food & Beverage Service Assistant,Welder and fitter,3.0,Tourism & Hospitality,0.4129616320133209
Repair - Welder,Electrician,4.0,Automotive,0.41295865178108215
Conveyor Operation & Maintenance,Solar PV installer,3.0,Iron and Steel,0.412939190864563
Counter Sales Executive (Tourism and Hospitality),Hotel front desk clerk,4.0,Tourism & Hospitality,0.41292309761047363
Dyestuff & Chemical Preparation Operator,Electrician,2.0,Textile,0.4129221439361572
Automotive Welding Machine Assistant,Automotive technician,2.0,Automotive,0.4129129648208618
Carving Artisan (Stonecraft),Car sales advisor,4.0,Handicrafts and Carpet,0.4128781259059906
Assistant Design Maker - Textiles,Forklift operator,3.0,Textile,0.41274338960647583
Beam Carrier - Loader,Truck driver,2.0,Textile,0.4127029776573181
Commis,Welder and fitter,4.0,Tourism & Hospitality,0.41268712282180786
Desludging Operator,Solar technician,3.0,Green Jobs,0.41263699531555176
Textile Finishing Machine Operator,Car sales advisor,2.0,Textile,0.4126318097114563
Pickle and Paste Making Technician,Car sales advisor,3.0,Food Processing,0.41262778639793396
Metal Fabricator - Iron and Steel,Car sales advisor,4.0,Iron and Steel,0.4126277267932892
Handloom Entrepreneur,Car sales advisor,5.0,Textile,0.4124741852283478
Restaurant Service (WorldSkills),Solar PV installer,4.5,Tourism & Hospitality,0.41244199872016907
Assistant-Underground Mines,Automotive technician,2.0,Mining,0.4124097228050232
Layout Engineer Level 5,Automotive technician,5.0,Automotive,0.41238629817962646
Crochet Lace Tailor,Electrician,3.0,Handicrafts and Carpet,0.41236573457717896
Pickle and Paste Making Technician,Solar technician,3.0,Food Processing,0.41232895851135254
Wind Resource Assessor and Site Surveyor - Wind Power Plant,Car sales advisor,5.0,Green Jobs,0.4122956395149231
Ground Crew Chief (Paragliding),Car sales advisor,4.0,Tourism & Hospitality,0.412284255027771
Executive Housekeeper,Solar technician,6.0,Tourism & Hospitality,0.41226887702941895
"Jam, Jelly and Ketchup Processing Technician",Truck driver,3.0,Food Processing,0.4122680425643921
Processed Food Entrepreneur,Solar PV installer,4.0,Food Processing,0.4122552275657654
Autobody Repair,Welder and fitter,4.5,Automotive,0.4122089743614197
Adventure Travel Guide,Car sales advisor,5.0,Tourism & Hospitality,0.41219907999038696
Four Wheeler Service Assistant,Car sales advisor,3.0,Automotive,0.4121871292591095
Guest House Caretaker,Electrician,4.0,Tourism & Hospitality,0.4121825695037842
Biomass Pellet Manufacturing Junior Technician,Solar technician,3.0,Green Jobs,0.41215378046035767
Automotive Assembly Technician,Electrician,4.0,Automotive,0.4121427536010742
Preservation Technician-Fruits and Vegetables,Car sales advisor,4.0,Food Processing,0.41211971640586853
Counter Sales Associate-Tourism and Hospitality,Solar PV installer,4.0,Tourism & Hospitality,0.412021279335022
Industrial Baker,Electrician,4.0,Food Processing,0.4119861125946045
Assistant Leather Toy Maker - Artisan,Solar technician,2.5,Handicrafts and Carpet,0.41198283433914185
Autoconer Tenter,Electrician,3.0,Textile,0.4119327664375305
Supervisor - Battery Operations,Solar PV installer,5.0,Iron and Steel,0.41192811727523804
High Altitude Trekking Guide,Forklift operator,5.0,Tourism & Hospitality,0.41192060708999634
Fitter - Ring Spinning,Electrician,4.0,Textile,0.41178062558174133
Etching Artisan - Metalware,Electrician,2.5,Handicrafts and Carpet,0.41176852583885193
Artisanal Fruit Wine Maker,Truck driver,5.0,Food Processing,0.41176003217697144
Automotive Machining Operator,Solar PV installer,3.0,Automotive,0.41168397665023804
Industrial Baker,Car sales advisor,4.0,Food Processing,0.4116816222667694
Effluent Treatment Plant Operator - Food Processing Facility,Car sales advisor,3.0,Food Processing,0.4116796851158142
Fruits and Vegetable Processing Operator,Car sales advisor,2.0,Food Processing,0.4116392135620117
HouseKeeping Manager,Car sales advisor,5.5,Tourism & Hospitality,0.41163480281829834
Sketching and painting artisan (Ceramics),Electrician,3.5,Handicrafts and Carpet,0.41160908341407776
Ambulance Driver,Electrician,4.0,Automotive,0.41159629821777344
Four Wheeler Service Lead Technician,Electrician,4.0,Automotive,0.4115259647369385
Traditional Painting Maker - Artisan,Electrician,3.0,Handicrafts and Carpet,0.41151905059814453
Parasailing (Equipment) Driver,Forklift operator,4.0,Tourism & Hospitality,0.4115162789821625
Camp Helper,Hotel front desk clerk,3.0,Tourism & Hospitality,0.411495566368103
Assistant Glass Toy Maker - Artisan,Solar technician,2.5,Handicrafts and Carpet,0.4114527702331543
Front Office Manager,Solar technician,7.0,Tourism & Hospitality,0.41138651967048645
Automatic Stick Making M/C Operator,Solar PV installer,2.5,Handicrafts and Carpet,0.4113757312297821
Light Motor Vehicle Driver,Electrician,2.5,Automotive,0.4113226532936096
Assistant - Electrician,Car sales advisor,3.0,Iron and Steel,0.41131141781806946
Mechanic: Hydraulic & Pneumatic System,Automotive technician,4.0,Iron and Steel,0.4113057255744934
Crochet Lace - Supervisor,Truck driver,3.5,Handicrafts and Carpet,0.41122668981552124
Iron & Steel- Plasma Cutter: Manual,Solar PV installer,4.0,Iron and Steel,0.41121411323547363
Modeller (Ceramics),Solar technician,3.5,Handicrafts and Carpet,0.4111717939376831
